img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/full_4894610AmericaFrontccc.jpg,Primal,PS2,Action,Sony Computer Entertainment,SCEE Cambridge,7.1,0.43,0.21,,0.17,0.06,2003-03-25,
/games/boxart/full_2843035AmericaFrontccc.jpg,Def Jam Icon,PS3,Action,Electronic Arts,Unknown,6.6,0.43,0.16,0.0,0.19,0.07,2007-03-06,
/games/boxart/full_atelier-totori-the-adventurer-of-arland_685AmericaFront.jpg,Atelier Totori: The Adventurer of Arland,PS3,Role-Playing,NIS America,Gust,7.8,0.43,0.12,0.21,0.07,0.03,2011-09-27,
/games/boxart/437262ccc.jpg,NiGHTS into dreams...,SAT,Platform,Sega,Sonic Team,9.1,0.43,,0.43,,0.0,1996-08-01,
/games/boxart/full_9490636AmericaFrontccc.jpg,Need for Speed Underground 2,GBA,Racing,Electronic Arts,Pocketeers,6.5,0.43,0.31,,0.12,0.01,2004-11-15,
/games/boxart/full_3864755AmericaFrontccc.jpg,Sin and Punishment: Star Successor,Wii,Shooter,Nintendo,"Treasure Co., Ltd.",8.4,0.43,0.19,0.06,0.14,0.03,2010-06-27,
/games/boxart/full_9745171AmericaFrontccc.jpg,Doom (2016),NS,Shooter,Bethesda Softworks,id Software,8.2,0.43,0.24,0.01,0.15,0.04,2017-11-10,2018-01-05
/games/boxart/full_okamiden_117AmericaFront.jpg,OkamiDen,DS,Adventure,Capcom,Capcom,8.3,0.43,0.21,0.13,0.07,0.02,2011-03-15,
/games/boxart/5975038ccc.jpg,007: Quantum of Solace,PS2,Shooter,Activision,Treyarch,7.8,0.43,0.17,0.0,0.0,0.26,2008-11-04,
/games/boxart/full_1516596AmericaFrontccc.jpg,Castlevania: Dawn of Sorrow,DS,Platform,Konami,Konami,8.9,0.43,0.34,0.03,0.03,0.03,2005-10-04,
/games/boxart/full_4849445AmericaFrontccc.jpg,Mischief Makers,N64,Platform,Nintendo,"Treasure Co., Ltd.",6.5,0.43,0.25,0.07,0.06,0.06,1997-10-01,
/games/boxart/full_2970306AmericaFrontccc.jpg,MLB 14 The Show,PS3,Sports,Sony Computer Entertainment America,SCE San Diego Studio,8.2,0.43,0.35,,,0.08,2014-04-01,2018-03-16
/games/boxart/full_3265291AmericaFrontccc.jpg,Crash: Mind Over Mutant,PSP,Platform,Activision,Virtuos,4.8,0.43,0.11,,0.21,0.11,2008-10-21,
